Q6P2Q9	PRPF8
Q5T215	TRAPPC3L
P36149	BET3
Q9H6Q4	CIAO3
Q9UHQ1	NARF
P23503	NAR1
P46776	RPL27A
P02406	RPL28
P28070	PSMB4
P30657	PRE4
Q8N2K1	UBE2J2
P33296	UBC6
Q9UNM6	PSMD13
Q04062	RPN9
Q9Y6R1	SLC4A4
Q9BY07	SLC4A5
Q6U841	SLC4A10
Q2Y0W8	SLC4A8
Q96Q91	SLC4A9
Q9Y6M7	SLC4A7
P04920	SLC4A2
P48751	SLC4A3
P02730	SLC4A1
P53838	BOR1
P62805	HIST1H4A
P02309	HHF1
Q9Y316	MEMO1
P47085	
Q9UI42	CPA4
P48052	CPA2
P15085	CPA1
Q8WXQ8	CPA5
P15086	CPB1
Q8N4T0	CPA6
P15088	CPA3
Q96IY4	CPB2
Q8IVL8	CPO
P38836	ECM14
P62249	RPS16
P0CX52	RPS16B
P0CX51	RPS16A
P47813	EIF1AX
O14602	EIF1AY
P38912	TIF11
Q6GTS8	PM20D1
P27614	CPS1
P0C155	
Q6ZWT7	MBOAT2
Q6ZNC8	MBOAT1
Q08548	ALE1
Q9H4A5	GOLPH3L
Q9H4A6	GOLPH3
Q06385	VPS74
Q9H1K1	ISCU
Q12056	ISU2
Q03020	ISU1
P36542	ATP5F1C
P38077	ATP3
Q9NY12	GAR1
P28007	GAR1
Q9Y5L0	TNPO3
Q99189	MTR10
O95835	LATS1
Q9NRM7	LATS2
P25341	KIN82
P53739	FPK1
Q9BQT8	SLC25A21
Q99297	ODC2
Q03028	ODC1
P83876	TXNL4A
Q06819	DIB1
Q8N8A6	DDX51
P53734	DBP6
Q9NX74	DUS2
P53720	SMM1
P16104	H2AFX
Q6FI13	HIST2H2AA3
Q93077	HIST1H2AC
P0C0S8	HIST1H2AG
Q7L7L0	HIST3H2A
P20671	HIST1H2AD
P04908	HIST1H2AB
Q96KK5	HIST1H2AH
Q99878	HIST1H2AJ
Q16777	HIST2H2AC
Q8IUE6	HIST2H2AB
Q96QV6	HIST1H2AA
Q9BTM1	H2AFJ
P04911	HTA1
P04912	HTA2
Q02543	RPL18A
P0CX24	RPL20B
P0CX23	RPL20A
P50542	PEX5
Q8IYB4	PEX5L
P35056	PEX5
O15498	YKT6
P36015	YKT6
P30085	CMPK1
P15700	URA6
Q03426	MVK
P07277	ERG12
Q96GX9	APIP
P47095	MDE1
Q9H490	PIGU
P41733	GAB1
Q86V24	ADIPOR2
Q96A54	ADIPOR1
Q12442	IZH2
Q03419	IZH1
P62158	CALM1
P27482	CALML3
P06787	CMD1
Q9H981	ACTR8
Q12386	ARP8
Q3KQZ1	SLC25A35
Q6PIV7	SLC25A34
P32332	OAC1
Q96RR4	CAMKK2
Q8N5S9	CAMKK1
P43637	TOS3
O15258	RER1
P25560	RER1
P04179	SOD2
P00447	SOD2
Q9H993	ARMT1
Q04371	
P78356	PIP4K2B
P48426	PIP4K2A
Q8TBX8	PIP4K2C
P38994	MSS4
Q9BVP2	GNL3
Q9NVN8	GNL3L
P40010	NUG1
P61962	DCAF7
Q12523	
Q5MNZ6	WDR45B
P50079	HSV2
Q96EY1	DNAJA3
P35191	MDJ1
Q9BQ52	ELAC2
P36159	TRZ1
Q9UBX3	SLC25A10
Q06143	DIC1
Q9Y3A5	SBDS
Q07953	SDO1
O43175	PHGDH
P40054	SER3
P40510	SER33
Q15645	TRIP13
P38126	PCH2
Q6NVY1	HIBCH
P28817	EHD3
Q9BV79	MECR
P38071	ETR1
Q6ZQW0	IDO2
P14902	IDO1
P47125	BNA2
Q6PGP7	TTC37
P17883	SKI3
Q15397	PUM3
Q04373	PUF6
Q86SQ9	DHDDS
P35196	RER2
Q96BW1	UPRT
P18562	FUR1
Q9BPX3	NCAPG
Q06680	YCG1
Q9BVL4	SELENOO
Q08968	FMP40
P42566	EPS15
Q9UBC2	EPS15L1
P34216	EDE1
O60725	ICMT
P32584	STE14
Q6P3W7	SCYL2
P53009	SCY1
Q8NI27	THOC2
P53552	THO2
Q9UBE0	SAE1
Q06624	AOS1
O14757	CHEK1
P38147	CHK1
Q16774	GUK1
P15454	GUK1
Q13795	ARFRP1
Q02804	ARL3
Q6IQ20	NAPEPLD
Q02883	FMP30
Q96GA7	SDSL
P20132	SDS
P25379	CHA1
P0CF22	SDL1
Q9Y6Y8	SEC23IP
O94830	DDHD2
Q12204	
O15182	CETN3
P06704	CDC31
O15527	OGG1
P53397	OGG1
O75794	CDC123
Q05791	CDC123
Q6BCY4	CYB5R2
P38626	CBR1
Q9NUI1	DECR2
P32573	SPS19
Q9Y5Q9	GTF3C3
P33339	TFC4
Q9P272	TRMT9B
P49957	TRM9
O15550	KDM6A
O14607	UTY
O15054	KDM6B
P14922	CYC8
Q9UHQ9	CYB5R1
P00387	CYB5R3
Q12746	PGA3
Q04516	AIM33
P49721	PSMB2
P22141	PRE1
P55769	SNU13
P39990	SNU13
Q8WUM4	PDCD6IP
Q12033	RIM20
Q9UHA3	RSL24D1
Q07915	RLP24
O60447	EVI5
Q96CN4	EVI5L
Q12344	GYP5
Q04322	GYL1
P26373	RPL13
P40212	RPL13B
Q12690	RPL13A
O00764	PDXK
P39988	BUD16
P19388	POLR2E
P20434	RPB5
P62750	RPL23A
P04456	RPL25
O75792	RNASEH2A
P53942	RNH201
Q14249	ENDOG
P08466	NUC1
Q00403	GTF2B
P29055	SUA7
Q08AI6	SLC38A11
P39981	AVT2
Q96FX7	TRMT61A
P46959	GCD14
P17032	ZNF37A
Q06732	ZNF33B
Q8N184	ZNF567
Q9BY31	ZNF717
Q96RE9	ZNF300
P17039	ZNF30
Q5MCW4	ZNF569
P51523	ZNF84
Q06730	ZNF33A
Q6ZMW2	ZNF782
P17014	ZNF12
Q9NYW8	RBAK
Q8TAQ5	ZNF420
P17025	ZNF182
Q3ZCX4	ZNF568
A8MQ14	ZNF850
P51786	ZNF157
Q8N8J6	ZNF615
Q14587	ZNF268
O94892	ZNF432
P51814	ZNF41
Q52M93	ZNF585B
Q86T29	ZNF605
Q6P3V2	ZNF585A
B4DU55	ZNF879
Q9Y6Q3	ZFP37
Q99676	ZNF184
P52742	ZNF135
Q5CZA5	ZNF805
Q9BX82	ZNF471
Q86UE3	ZNF546
Q8NDW4	ZNF248
Q3MIS6	ZNF528
Q8NB42	ZNF527
Q2M218	ZNF630
Q9HCZ1	ZNF334
P35789	ZNF93
A8MTY0	ZNF724
P51508	ZNF81
A6NNF4	ZNF726
P52736	ZNF133
Q9Y473	ZNF175
Q4V348	ZNF658B
Q6PF04	ZNF613
Q96N22	ZNF681
Q9Y2H8	ZNF510
O43296	ZNF264
Q2M3X9	ZNF674
Q96ND8	ZNF583
Q9HBT7	ZNF287
Q9P2J8	ZNF624
Q9UJW8	ZNF180
Q86YE8	ZNF573
O75437	ZNF254
Q7Z340	ZNF551
Q6ECI4	ZNF470
Q9HCG1	ZNF160
Q96SE7	ZNF347
Q03923	ZNF85
Q96SR6	ZNF382
Q7Z3V5	ZNF571
O75290	ZNF780A
Q8NDQ6	ZNF540
Q9H7R5	ZNF665
Q6PG37	ZNF790
Q8TF45	ZNF418
O75820	ZNF189
P0DKX0	ZNF728
Q86V71	ZNF429
Q8TF47	ZFP90
Q8WV37	ZNF480
P15622	ZNF250
Q86XN6	ZNF761
Q96IR2	ZNF845
Q6PDB4	ZNF880
Q9BRH9	ZNF251
Q9UJW7	ZNF229
Q32M78	ZNF699
P17031	ZNF26
Q9NQV7	PRDM9
Q5JVG2	ZNF484
Q8NHY6	ZFP28
Q96SK3	ZNF607
Q9Y6R6	ZNF780B
P17027	ZNF23
Q8N972	ZNF709
O43345	ZNF208
Q8N7M2	ZNF283
Q96NI8	ZNF570
Q6ZN06	ZNF813
Q76KX8	ZNF534
Q8N883	ZNF614
Q9Y3M9	ZNF337
P21506	ZNF10
Q8N9K5	ZNF565
Q96NL3	ZNF599
Q9P0L1	ZKSCAN7
Q16587	ZNF74
Q6P9A1	ZNF530
P17020	ZNF16
P52740	ZNF132
Q6ZN57	ZFP2
P17019	ZNF708
Q08AN1	ZNF616
Q8IZ26	ZNF34
Q8TD23	ZNF675
Q14591	
Q96N58	ZNF578
P17021	ZNF17
Q8IYB9	ZNF595
Q9Y2G7	ZFP30
Q02386	ZNF45
P17097	ZNF7
Q96LW1	ZNF354B
Q68DY1	ZNF626
P17038	ZNF43
Q03938	ZNF90
Q9BWM5	ZNF416
B7Z6K7	ZNF814
Q8N141	ZFP82
Q14585	ZNF345
Q14593	ZNF273
Q5HYK9	ZNF667
Q8WXB4	ZNF606
A6NK75	ZNF98
Q9HCL3	ZFP14
A8MXY4	ZNF99
Q8N9F8	ZNF454
Q9HCX3	ZNF304
O14709	ZNF197
Q5JNZ3	ZNF311
Q9NZL3	ZNF224
Q6ZN19	ZNF841
Q96JC4	ZNF479
Q3KP31	ZNF791
Q7Z7L9	ZSCAN2
Q8TAF7	ZNF461
P10072	ZNF875
P17017	ZNF14
Q14588	ZNF234
Q9HBT8	ZNF286A
Q8N7K0	ZNF433
Q03936	ZNF92
Q147U1	ZNF846
Q13398	ZNF211
Q96JF6	ZNF594
P17035	ZNF28
O75373	ZNF737
Q8TF39	ZNF483
O75346	ZNF253
Q7L2R6	ZNF765
Q96MU6	ZNF778
Q2M3W8	ZNF181
Q6NX49	ZNF544
Q86UD4	ZNF329
Q8TF32	ZNF431
Q8TBZ5	ZNF502
Q96HQ0	ZNF419
O14628	ZNF195
Q8N4W9	ZNF808
Q9C0F3	ZNF436
Q3ZCT1	ZNF260
Q9Y2P7	ZNF256
Q8TAU3	ZNF417
Q86Y25	ZNF354C
Q86WZ6	ZNF227
Q9H8G1	ZNF430
Q9Y2Q1	ZNF257
Q96SQ5	ZNF587
B4DXR9	ZNF732
Q14586	ZNF267
Q3KQV3	ZNF792
Q9UK10	ZNF225
P17030	ZNF25
Q0VGE8	ZNF816
Q6ZR52	ZNF493
Q86XU0	ZNF677
F5GWS7	
Q9UJU3	ZNF112
P17024	ZNF20
Q14590	ZNF235
Q9NQZ8	ZNF71
Q14929	ZNF169
Q8N7Q3	ZNF676
P51522	ZNF83
Q6P280	ZNF529
Q9BS31	ZNF649
Q9NYT6	ZNF226
Q5SXM1	ZNF678
O60765	ZNF354A
Q08ER8	ZNF543
P0CJ79	ZNF888
Q14584	ZNF266
Q8NEP9	ZNF555
C9JN71	ZNF878
Q5VIY5	ZNF468
Q6ZMS4	ZNF852
Q8NEM1	ZNF680
Q8TC21	ZNF596
A6NFI3	ZNF316
Q9Y2P0	ZNF835
Q8NA42	ZNF383
Q6P1L6	ZNF343
Q8IYN0	ZNF100
Q8NCK3	ZNF485
A2RRD8	ZNF320
A8MUV8	ZNF727
Q8IW36	ZNF695
Q8TF20	ZNF721
Q9NQX6	ZNF331
P0CG24	ZNF883
A6NP11	ZNF716
A6NHJ4	ZNF860
Q15937	ZNF79
Q8NB50	ZFP62
Q9BUY5	ZNF426
Q9UK13	ZNF221
Q96NJ6	ZFP3
Q9H0M5	ZNF700
O95780	ZNF682
Q6ZMV8	ZNF730
Q6ZNG1	ZNF600
Q6P9A3	ZNF549
P52737	ZNF136
Q8N823	ZNF611
Q68DI1	ZNF776
Q8TBZ8	ZNF564
Q96MR9	ZNF560
Q494X3	ZNF404
Q96PQ6	ZNF317
Q6IV72	ZNF425
Q6ZNH5	ZNF497
Q9BR84	ZNF559
Q8NEK5	ZNF548
Q09FC8	ZNF415
Q9P255	ZNF492
Q9UC06	ZNF70
O75123	ZNF623
Q9UII5	ZNF107
Q15935	ZNF77
A6NDX5	ZNF840P
O43361	ZNF749
Q9UC07	ZNF69
Q8TB69	ZNF519
O75467	ZNF324
Q3SXZ3	ZNF718
Q6NX45	ZNF774
Q12901	ZNF155
Q96JL9	ZNF333
Q13106	ZNF154
Q68EA5	ZNF57
Q6AW86	ZNF324B
Q96H40	ZNF486
Q7Z3I7	ZNF572
Q9UL59	ZNF214
Q9H7R0	ZNF442
Q96PE6	ZIM3
Q6ZMY9	ZNF517
P0CG31	ZNF286B
H0YG68	
Q14592	ZNF460
Q6P2D0	ZFP1
P13682	ZNF35
Q9ULM2	ZNF490
Q96GE5	ZNF799
Q9Y2A4	ZNF443
Q96N38	ZNF714
P16415	ZNF823
Q96NG8	ZNF582
P15621	ZNF44
Q96NJ3	ZNF285
Q3KNS6	ZNF829
Q49AA0	ZFP69
Q15072	ZNF146
Q15928	ZNF141
Q8TAW3	ZNF671
Q13360	ZNF177
Q6PK81	ZNF773
Q8N8L2	ZNF491
Q3SY52	ZIK1
Q2VY69	ZNF284
Q9NXT0	ZNF586
Q5JVG8	ZNF506
Q8N8Z8	ZNF441
P52738	ZNF140
Q8WTR7	ZNF473
Q9UJL9	ZFP69B
Q8N2I2	ZNF619
Q9BSG1	ZNF2
Q86TJ5	ZNF554
O14978	ZNF263
Q03924	ZNF117
Q7L945	ZNF627
O43309	ZSCAN12
P17023	ZNF19
Q8N988	ZNF557
Q8NDP4	ZNF439
Q9NV72	ZNF701
Q68DY9	ZNF772
P58317	ZNF121
Q6AZW8	ZNF660
Q8IYI8	ZNF440
P28698	MZF1
Q9Y2L8	ZKSCAN5
Q16600	ZNF239
Q5HY98	ZNF766
Q9GZX5	ZNF350
Q9UK11	ZNF223
A8MT65	ZNF891
P52741	ZNF134
B4DX44	ZNF736
Q8TA94	ZNF563
Q8N587	ZNF561
Q5TEC3	ZNF697
Q8N9Z0	ZNF610
Q6ZNG0	ZNF620
Q96K75	ZNF514
A6NK53	ZNF233
Q7Z398	ZNF550
Q9NR11	ZNF302
Q9UIE0	ZNF230
P0CB33	ZNF735
Q6ZN08	ZNF66
Q96CS4	ZNF689
Q969W8	ZNF566
Q5T5D7	ZNF684
Q8N393	ZNF786
O95201	ZNF205
Q8IVP9	ZNF547
Q9BS34	ZNF670
Q96K58	ZNF668
Q6U7Q0	ZNF322
P17098	ZNF8
P59923	ZNF445
Q6ZQV5	ZNF788P
Q499Z4	ZNF672
Q9NSJ1	ZNF355P
Q15973	ZNF124
Q8N859	ZNF713
Q9NSD4	ZNF275
Q9UK12	ZNF222
Q96SZ4	ZSCAN10
P0C7X5	ZNF806
Q6ZN11	ZNF793
Q7Z7K2	ZNF467
Q96EG3	ZNF837
Q8IVC4	ZNF584
Q5FWF6	ZNF789
Q63HK3	ZKSCAN2
Q8IZC7	ZNF101
P0C7V5	
Q9HAH1	ZNF556
Q96BR6	ZNF669
Q9BWE0	REPIN1
Q6V9R5	ZNF562
Q9NQX1	PRDM5
Q96MX3	ZNF48
Q6ZN55	ZNF574
B1APH4	ZNF487
Q53GI3	ZNF394
Q9UDV7	ZNF282
Q9H707	ZNF552
Q8N720	ZNF655
Q8TD17	ZNF398
Q5EBL2	ZNF628
Q96BV0	ZNF775
Q9P2F9	ZNF319
P47043	ZAP1
P32969	RPL9
P51401	RPL9B
P05738	RPL9A
Q7L5A8	FA2H
Q03529	SCS7
Q99447	PCYT2
P33412	ECT1
Q9Y5J1	UTP18
P40362	UTP18
O75354	ENTPD6
O75356	ENTPD5
P32621	GDA1
P38571	LIPA
Q5VYY2	LIPM
P07098	LIPF
Q5VXJ0	LIPK
Q5VXI9	LIPN
Q5W064	LIPJ
P34163	TGL1
Q9BZK7	TBL1XR1
O60907	TBL1X
Q9BQ87	TBL1Y
P38262	SIF2
P67870	CSNK2B
Q5SRQ3	CSNK2B
P43639	CKB1
Q6PI26	SHQ1
P40486	SHQ1
Q9P253	VPS18
P27801	PEP3
Q9HAB8	PPCS
P40506	CAB2
Q9GZN1	ACTR6
Q12509	ARP6
Q8N9T8	KRI1
P42846	KRI1
P54727	RAD23B
P54725	RAD23A
P32628	RAD23
Q8WVB6	CHTF18
P49956	CTF18
P62807	HIST1H2BC
Q16778	HIST2H2BE
Q5QNW6	HIST2H2BF
Q93079	HIST1H2BH
P23527	HIST1H2BO
O60814	HIST1H2BK
Q99877	HIST1H2BN
P06899	HIST1H2BJ
P58876	HIST1H2BD
P33778	HIST1H2BB
P57053	H2BFS
Q99879	HIST1H2BM
Q8N257	HIST3H2BB
Q99880	HIST1H2BL
Q96A08	HIST1H2BA
P02293	HTB1
P02294	HTB2
P78549	NTHL1
P31378	NTG1
Q08214	NTG2
Q9UIJ7	AK3
P27144	AK4
P26364	ADK2
Q9NTI5	PDS5B
Q29RF7	PDS5A
Q04264	PDS5
O43592	XPOT
P33418	LOS1
P62841	RPS15
Q01855	RPS15
Q6UXN9	WDR82
P36104	SWD2
Q9Y535	POLR3H
P35718	RPC25
Q86VI3	IQGAP3
P46940	IQGAP1
Q13576	IQGAP2
Q12280	IQG1
O76003	GLRX3
P32642	GRX4
Q03835	GRX3
Q9BZJ4	SLC25A39
Q8TBP6	SLC25A40
P53320	MTM1
Q9HD42	CHMP1A
Q7LBR1	CHMP1B
P69771	DID2
P00441	SOD1
P00445	SOD1
O75716	STK16
Q12003	ENV7
Q9NT62	ATG3
P40344	ATG3
Q9GZL7	WDR12
Q12024	YTM1
Q9H999	PANK3
Q9BZ23	PANK2
Q8TE04	PANK1
Q04430	CAB1
Q5TC63	GRTP1
Q12317	MSB4
P48566	MSB3
Q8WV83	SLC35F5
Q03730	
Q04083	THI74
P17707	AMD1
P21182	SPE2
Q8N6M5	ALLC
P25335	DAL2
O43516	WIPF1
Q8TF74	WIPF2
P37370	VRP1
Q5TDH0	DDI2
Q8WTU0	DDI1
P40087	DDI1
Q9H2D1	SLC25A32
P40556	YIA6
P39953	YEA6
P63208	SKP1
P52286	SKP1
Q8WWY3	PRPF31
P49704	PRP31
Q9H269	VPS16
Q03308	VPS16
Q16348	SLC15A2
P46059	SLC15A1
P32901	PTR2
Q14677	CLINT1
P47160	ENT3
Q8N4J0	CARNMT1
P53934	
Q96JB2	COG3
P40094	COG3
Q969X6	UTP4
Q06679	UTP4
Q9GZT8	NIF3L1
P53081	NIF3
Q5H9R7	PPP6R3
Q9UPN7	PPP6R1
O75170	PPP6R2
P40856	SAP185
P36123	SAP190
P43612	SAP155
P53036	SAP4
Q14103	HNRNPD
O14979	HNRNPDL
Q99729	HNRNPAB
P51991	HNRNPA3
P09651	HNRNPA1
Q99383	HRP1
Q969Q0	RPL36AL
P83881	RPL36A
H7BZ11	RPL36A-HNRNPH2
P0CX28	RPL42B
P0CX27	RPL42A
Q8NCW5	NAXE
A6XGL0	YJEFN3
P40165	
P41223	BUD31
P25337	BUD31
P04843	RPN1
P41543	OST1
P49770	EIF2B2
P32502	GCD7
P56282	POLE2
P24482	DPB2
P36915	GNL1
P53145	LSG1
Q6NXT6	TAPT1
P40085	EMP65
Q9UKD2	MRTO4
P33201	MRT4
Q9NP77	SSU72
P53538	SSU72
P61353	RPL27
P0C2H6	RPL27A
P0C2H7	RPL27B
O00471	EXOC5
Q06245	SEC10
O75648	TRMU
Q12093	SLM3
Q14694	USP10
Q01477	UBP3
Q9BTE6	AARSD1
P53960	
Q9ULC4	MCTS1
P89886	TMA20
O60774	FMO6P
P31513	FMO3
Q01740	FMO1
Q99518	FMO2
P31512	FMO4
P49326	FMO5
P38866	FMO1
P56377	AP1S2
P61966	AP1S1
Q96PC3	AP1S3
P35181	APS1
Q92551	IP6K1
Q96PC2	IP6K3
Q9UHH9	IP6K2
Q12494	KCS1
Q5I7T1	ALG10B
Q5BKT4	ALG10
P50076	DIE2
Q96C86	DCPS
Q12123	DCS2
Q06151	DCS1
O15144	ARPC2
P53731	ARC35
O15145	ARPC3
Q05933	ARC18
O43772	SLC25A20
Q12289	CRC1
Q9HC07	TMEM165
P38301	GDT1
Q9Y484	WDR45
P43601	ATG18
Q7Z2H8	SLC36A1
Q495M3	SLC36A2
Q495N2	SLC36A3
Q6YBV0	SLC36A4
P50944	AVT4
P36062	AVT3
P29401	TKT
Q9H0I9	TKTL2
P51854	TKTL1
P23254	TKL1
P33315	TKL2
Q16775	HAGH
Q6PII5	HAGHL
Q8N490	PNKD
Q05584	GLO2
Q12320	GLO4
P41227	NAA10
Q9BSU3	NAA11
P07347	ARD1
Q9NUN7	ACER3
Q02896	YDC1
P38298	YPC1
O00628	PEX7
P39108	PEX7
O75419	CDC45
Q08032	CDC45
Q9UBM1	PEMT
P05375	OPI3
Q13464	ROCK1
O75116	ROCK2
Q9Y5S2	CDC42BPB
Q6DT37	CDC42BPG
Q5VT25	CDC42BPA
O14578	CIT
Q12263	GIN4
P25389	KCC4
P50747	HLCS
P48445	BPL1
Q969S0	SLC35B4
P40004	YEA4
P82251	SLC7A9
Q9UPY5	SLC7A11
Q01650	SLC7A5
Q92536	SLC7A6
Q9UM01	SLC7A7
Q9UHI5	SLC7A8
Q9NS82	SLC7A10
Q8TCU3	SLC7A13
P50276	MUP1
P38734	MUP3
P61964	WDR5
Q86VZ2	WDR5B
P38123	SWD3
P0C0S5	H2AFZ
Q71UI9	H2AFV
Q12692	HTZ1
P46060	RANGAP1
P11745	RNA1
O75880	SCO1
O43819	SCO2
P23833	SCO1
P38072	SCO2
Q86VX9	MON1A
Q7L1V2	MON1B
P53129	MON1
Q96P11	NSUN5
Q63ZY6	NSUN5P2
P53972	RCM1
O00762	UBE2C
P52492	UBC11
A6NDG6	PGP
Q96GD0	PDXP
P19881	PHO13
O43292	GPAA1
P39012	GAA1
Q4G176	ACSF3
P38137	PCS60
Q9Y3A0	COQ4
O13525	COQ4
Q96NY9	MUS81
Q04149	MUS81
Q712K3	UBE2R2
P49427	CDC34
P62253	UBE2G1
P14682	CDC34
Q6NWY9	PRPF40B
O75400	PRPF40A
P33203	PRP40
Q14457	BECN1
A8MW95	BECN2
Q02948	VPS30
P61086	UBE2K
P21734	UBC1
P43487	RANBP1
P41920	YRB1
Q15070	OXA1L
P39952	OXA1
P29218	IMPA1
O14732	IMPA2
Q05533	INM2
P38710	INM1
Q53GQ0	HSD17B12
Q3SXM5	HSDL1
P37058	HSD17B3
P38286	IFA38
O43159	RRP8
P38961	RRP8
Q12874	SF3A3
P19736	PRP9
P62910	RPL32
P38061	RPL32
Q8N8R3	SLC25A29
Q8N413	SLC25A45
Q6Q0C1	SLC25A47
Q6ZT89	SLC25A48
P38087	YMC2
P32331	YMC1
Q9NYV4	CDK12
Q14004	CDK13
Q01389	BCK1
Q53HI1	UNC50
P36125	GMH1
O94826	TOMM70
P07213	TOM70
P38825	TOM71
Q99807	COQ7
P41735	CAT5
Q8TBZ6	TRMT10A
Q12400	TRM10
Q9UBQ0	VPS29
P38759	VPS29
P62854	RPS26
Q5JNZ5	RPS26P11
P39938	RPS26A
P39939	RPS26B
P25325	MPST
Q16762	TST
Q08686	TUM1
Q96PY6	NEK1
Q6P3R8	NEK5
P34244	HSL1
Q96H20	SNF8
Q12483	SNF8
Q9NYA1	SPHK1
Q06147	LCB5
Q9NUP7	TRMT13
Q12383	TRM13
O95260	ATE1
P16639	ATE1
P18754	RCC1
P21827	SRM1
O15260	SURF4
P53337	ERV29
Q7L211	ABHD13
P42840	
Q96AA3	RFT1
P38206	RFT1
P52298	NCBP2
A6PVI3	NCBP2L
Q08920	CBC2
Q15819	UBE2V2
Q13404	UBE2V1
P53152	MMS2
Q01831	XPC
P14736	RAD4
Q13257	MAD2L1
P40958	MAD2
Q92504	SLC39A7
P40544	YKE4
Q92541	RTF1
P53064	RTF1
P0CW22	RPS17
P08708	RPS17
P02407	RPS17A
P14127	RPS17B
P62847	RPS24
P0CX32	RPS24B
P0CX31	RPS24A
Q969S3	ZNF622
P38344	REI1
Q06709	REH1
Q9C0D9	SELENOI
P22140	EPT1
P17898	CPT1
P23919	DTYMK
P00572	CDC8
Q14181	POLA2
P38121	POL12
P61081	UBE2M
P52491	UBC12
Q9UJA9	ENPP5
Q6UWV6	ENPP7
Q6UWR7	ENPP6
P25353	NPP1
P39997	NPP2
O95251	KAT7
Q9H7Z6	KAT8
P40963	SAS2
Q16769	QPCT
Q9NXS2	QPCTL
P43599	
Q8N6M0	OTUD6B
Q7L8S5	OTUD6A
P38747	OTU2
O75663	TIPRL
Q12199	TIP41
Q13190	STX5
Q01590	SED5
Q6P587	FAHD1
P53889	FMP41
Q9BV86	NTMT1
Q5VVY1	METTL11B
P38340	TAE1
O75396	SEC22B
P22214	SEC22
P62877	RBX1
Q08273	HRT1
Q3ZCQ8	TIMM50
Q02776	TIM50
O60830	TIMM17B
Q99595	TIMM17A
P39515	TIM17
Q969M3	YIPF5
Q8N8F6	YIPF7
P53039	YIP1
Q15291	RBBP5
P39706	SWD1
Q8NBR6	MINDY2
Q8N5J2	MINDY1
Q08930	
P53155	
P07741	APRT
P49435	APT1
P36973	APT2
Q8IUD2	ERC1
O15083	ERC2
P32380	SPC110
O43615	TIMM44
Q01852	TIM44
P22670	RFX1
P48380	RFX3
P48378	RFX2
P48743	RFX1
O00519	FAAH
P22580	AMD2
O60337	MARCH6
P40318	SSM4
P43034	PAFAH1B1
P39946	PAC1
P62487	POLR2G
P34087	RPB7
Q14978	NOLC1
P32583	SRP40
Q8WVC0	LEO1
P38439	LEO1
O15541	RNF113A
Q8IZP6	RNF113B
P53769	CWC24
O14735	CDIPT
P06197	PIS1
P61599	NAA20
Q06504	NAT3
Q9NRA0	SPHK2
Q12246	LCB4
P67812	SEC11A
P0C7V7	SEC11B
Q9BY50	SEC11C
P15367	SEC11
P99999	CYCS
P00044	CYC1
P00045	CYC7
P83731	RPL24
P04449	RPL24A
P24000	RPL24B
Q02878	RPL6
P05739	RPL6B
Q02326	RPL6A
Q7Z4H3	HDDC2
P38331	
P53144	
Q9P0J1	PDP1
Q9P2J9	PDP2
Q12511	PTC5
O94903	PLPBP
P38197	
P37198	NUP62
P14907	NSP1
Q9Y3B8	REXO2
P54964	REX2
O95477	ABCA1
P78363	ABCA4
Q8IZY2	ABCA7
Q9BZC7	ABCA2
Q86UK0	ABCA12
Q86UQ4	ABCA13
Q08234	
P10696	ALPG
P05187	ALPP
P09923	ALPI
P05186	ALPL
P11491	PHO8
P23193	TCEA1
Q15560	TCEA2
O75764	TCEA3
P07273	DST1
Q96AX1	VPS33A
H3BMM5	
Q9H267	VPS33B
P20795	VPS33
O43148	RNMT
P32783	ABD1
Q8TCT9	HM13
P34248	
Q8N5U6	RNF10
Q06436	MAG2
Q8WVE0	EEF1AKMT1
P53200	EFM5
Q96BW9	TAMM41
P53230	TAM41
Q15691	MAPRE1
Q9UPY8	MAPRE3
Q15555	MAPRE2
P40013	BIM1
P39019	RPS19
P07280	RPS19A
P07281	RPS19B
Q5TEA6	SEL1L2
Q9UBV2	SEL1L
Q05787	HRD3
Q9H0R8	GABARAPL1
Q9BY60	GABARAPL3
P38182	ATG8
O75821	EIF3G
Q04067	TIF35
Q15526	SURF1
P53266	SHY1
Q8WWH5	TRUB1
P48567	PUS4
Q96P70	IPO9
P53067	KAP114
Q9UPQ8	DOLK
P20048	SEC59
Q9NPD3	EXOSC4
P46948	SKI6
P49354	FNTA
P29703	RAM2
Q13889	GTF2H3
Q12004	TFB4
Q99741	CDC6
P09119	CDC6
Q969K4	ABTB1
P40560	
Q9H7D7	WDR26
P25569	GID7
Q9UGP8	SEC63
P14906	SEC63
Q9NYV6	RRN3
P36070	RRN3
Q9BV57	ADI1
Q03677	ADI1
Q9UBZ4	APEX2
P38207	APN2
Q9H8Y5	ANKZF1
Q04311	VMS1
Q9UNI6	DUSP12
Q02256	YVH1
Q13596	SNX1
O60749	SNX2
Q92331	VPS5
P09001	MRPL3
P31334	MRPL9
O43395	PRPF3
Q03338	PRP3
P51948	MNAT1
Q03290	TFB3
P42696	RBM34
Q08208	NOP12
Q8NFV4	ABHD11
P53219	IMO32
Q9UBQ7	GRHPR
P53839	GOR1
P0CG23	ZNF853
O60304	ZNF500
Q96LW9	ZSCAN31
P41696	AZF1
P13693	TPT1
Q9HAU6	TPT1P8
P35691	TMA19
P36543	ATP6V1E1
