"input" "reason" "matches" "symbol" "organism.shortName" "name" "length" "secondaryIdentifier" "primaryIdentifier" "class"
"ATG5" "OTHER" "1" "ATG5" "S. cerevisiae" "AuTophaGy related" "885" "YPL149W" "S000006070" "ORF"
"BUD23" "OTHER" "1" "BUD23" "S. cerevisiae" "BUD site selection" "828" "YCR047C" "S000000643" "ORF"
"NIT2" "OTHER" "1" "NIT2" "S. cerevisiae" "NITrilase superfamily" "924" "YJL126W" "S000003662" "ORF"
"RTC6" "OTHER" "1" "RTC6" "S. cerevisiae" "Restriction of Telomere Capping" "282" "YPL183W-A" "S000007224" "ORF"
"LCB5" "OTHER" "1" "LCB5" "S. cerevisiae" "Long-Chain Base" "2064" "YLR260W" "S000004250" "ORF"
"MSH2" "OTHER" "1" "MSH2" "S. cerevisiae" "MutS Homolog" "2895" "YOL090W" "S000005450" "ORF"
"TRM10" "OTHER" "1" "TRM10" "S. cerevisiae" "Transfer RNA Methyltransferase" "882" "YOL093W" "S000005453" "ORF"
"CYT1" "OTHER" "1" "CYT1" "S. cerevisiae" "CYTochrome c1" "930" "YOR065W" "S000005591" "ORF"
"MDH1" "OTHER" "1" "MDH1" "S. cerevisiae" "Malate DeHydrogenase" "1005" "YKL085W" "S000001568" "ORF"
"MRPL19" "OTHER" "1" "MRPL19" "S. cerevisiae" "Mitochondrial Ribosomal Protein, Large subunit" "477" "YNL185C" "S000005129" "ORF"
"BNA6" "OTHER" "1" "BNA6" "S. cerevisiae" "Biosynthesis of Nicotinic Acid" "888" "YFR047C" "S000001943" "ORF"
"GAL7" "OTHER" "1" "GAL7" "S. cerevisiae" "GALactose metabolism" "1101" "YBR018C" "S000000222" "ORF"
"MAF1" "OTHER" "1" "MAF1" "S. cerevisiae" "" "1268" "YDR005C" "S000002412" "ORF"
"COX17" "OTHER" "1" "COX17" "S. cerevisiae" "Cytochrome c OXidase" "210" "YLL009C" "S000003932" "ORF"
"NFU1" "OTHER" "1" "NFU1" "S. cerevisiae" "NifU-like protein" "771" "YKL040C" "S000001523" "ORF"
"ELP4" "OTHER" "1" "ELP4" "S. cerevisiae" "ELongator Protein" "1371" "YPL101W" "S000006022" "ORF"
"ERG2" "OTHER" "1" "ERG2" "S. cerevisiae" "ERGosterol biosynthesis" "669" "YMR202W" "S000004815" "ORF"
"INO1" "OTHER" "1" "INO1" "S. cerevisiae" "INOsitol requiring" "1602" "YJL153C" "S000003689" "ORF"
"THR4" "OTHER" "1" "THR4" "S. cerevisiae" "THReonine requiring" "1545" "YCR053W" "S000000649" "ORF"
"TOP3" "OTHER" "1" "TOP3" "S. cerevisiae" "TOPoisomerase" "1971" "YLR234W" "S000004224" "ORF"
"BUD32" "OTHER" "1" "BUD32" "S. cerevisiae" "BUD site selection" "786" "YGR262C" "S000003494" "ORF"
"GCN2" "OTHER" "1" "GCN2" "S. cerevisiae" "General Control Nonderepressible" "4980" "YDR283C" "S000002691" "ORF"
"XKS1" "OTHER" "1" "XKS1" "S. cerevisiae" "XyluloKinaSe" "1803" "YGR194C" "S000003426" "ORF"
"NIT2" "OTHER" "1" "NIT2" "S. cerevisiae" "NITrilase superfamily" "924" "YJL126W" "S000003662" "ORF"
"FUM1" "OTHER" "1" "FUM1" "S. cerevisiae" "FUMarase" "1467" "YPL262W" "S000006183" "ORF"
"RAD51" "OTHER" "1" "RAD51" "S. cerevisiae" "RADiation sensitive" "1203" "YER095W" "S000000897" "ORF"
"ICP55" "OTHER" "1" "ICP55" "S. cerevisiae" "Intermediate Cleaving Peptidase" "1536" "YER078C" "S000000880" "ORF"
"MIP1" "OTHER" "1" "MIP1" "S. cerevisiae" "MItochondrial DNA Polymerase" "3765" "YOR330C" "S000005857" "ORF"
"COQ9" "OTHER" "1" "COQ9" "S. cerevisiae" "COenzyme Q" "783" "YLR201C" "S000004191" "ORF"
"MRPS12" "OTHER" "1" "MRPS12" "S. cerevisiae" "Mitochondrial Ribosomal Protein, Small subunit" "462" "YNR036C" "S000005319" "ORF"
"ATP1" "OTHER" "1" "ATP1" "S. cerevisiae" "ATP synthase" "1638" "YBL099W" "S000000195" "ORF"
"RPB9" "OTHER" "1" "RPB9" "S. cerevisiae" "RNA Polymerase B" "369" "YGL070C" "S000003038" "ORF"
"BNA5" "OTHER" "1" "BNA5" "S. cerevisiae" "Biosynthesis of Nicotinic Acid" "1362" "YLR231C" "S000004221" "ORF"
"SAC1" "OTHER" "1" "SAC1" "S. cerevisiae" "Suppressor of ACtin" "1872" "YKL212W" "S000001695" "ORF"
"MRPL23" "OTHER" "1" "MRPL23" "S. cerevisiae" "Mitochondrial Ribosomal Protein, Large subunit" "492" "YOR150W" "S000005676" "ORF"
"MSD1" "OTHER" "1" "MSD1" "S. cerevisiae" "Mitochondrial aminoacyl-tRNA Synthetase, Aspartate (D)" "1977" "YPL104W" "S000006025" "ORF"
"SNF8" "OTHER" "1" "SNF8" "S. cerevisiae" "Sucrose NonFermenting" "702" "YPL002C" "S000005923" "ORF"
"ELP2" "OTHER" "1" "ELP2" "S. cerevisiae" "ELongator Protein" "2367" "YGR200C" "S000003432" "ORF"
"TMA20" "OTHER" "1" "TMA20" "S. cerevisiae" "Translation Machinery Associated" "649" "YER007C-A" "S000002957" "ORF"
"MSY1" "OTHER" "1" "MSY1" "S. cerevisiae" "Mitochondrial aminoacyl-tRNA Synthetase, tyrosine (Y)" "1479" "YPL097W" "S000006018" "ORF"
"ARG5,6" "OTHER" "1" "ARG5,6" "S. cerevisiae" "ARGinine requiring" "2592" "YER069W" "S000000871" "ORF"
"MRPL9" "OTHER" "1" "MRPL9" "S. cerevisiae" "Mitochondrial Ribosomal Protein, Large subunit" "810" "YGR220C" "S000003452" "ORF"
"SCS7" "OTHER" "1" "SCS7" "S. cerevisiae" "Suppressor of Ca2+ Sensitivity" "1155" "YMR272C" "S000004885" "ORF"
"SYG1" "OTHER" "1" "SYG1" "S. cerevisiae" "Suppressor of Yeast Gpa1" "2709" "YIL047C" "S000001309" "ORF"
"MRPL51" "OTHER" "1" "MRPL51" "S. cerevisiae" "Mitochondrial Ribosomal Protein, Large subunit" "423" "YPR100W" "S000006304" "ORF"
"GSH1" "OTHER" "1" "GSH1" "S. cerevisiae" "glutathione (GSH)" "2037" "YJL101C" "S000003637" "ORF"
"MSF1" "OTHER" "1" "MSF1" "S. cerevisiae" "Mitochondrial aminoacyl-tRNA Synthetase, Phenylalanine (F)" "1410" "YPR047W" "S000006251" "ORF"
"PEX7" "OTHER" "1" "PEX7" "S. cerevisiae" "PEroXin" "1128" "YDR142C" "S000002549" "ORF"
"STP22" "OTHER" "1" "STP22" "S. cerevisiae" "STerile Pseudoreversion" "1158" "YCL008C" "S000000514" "ORF"
"COX1" "OTHER" "1" "COX1" "S. cerevisiae" "Cytochrome c OXidase" "12884" "Q0045" "S000007260" "ORF"
"GRX5" "OTHER" "1" "GRX5" "S. cerevisiae" "GlutaRedoXin" "453" "YPL059W" "S000005980" "ORF"
"QCR7" "OTHER" "1" "QCR7" "S. cerevisiae" "ubiQuinol-cytochrome C oxidoReductase" "384" "YDR529C" "S000002937" "ORF"
"UPS1" "OTHER" "1" "UPS1" "S. cerevisiae" "UnProceSsed" "528" "YLR193C" "S000004183" "ORF"
"HER2" "OTHER" "1" "HER2" "S. cerevisiae" "Hmg2p ER Remodeling" "1395" "YMR293C" "S000004907" "ORF"
"SGS1" "OTHER" "1" "SGS1" "S. cerevisiae" "Slow Growth Suppressor" "4344" "YMR190C" "S000004802" "ORF"
"ATP2" "OTHER" "1" "ATP2" "S. cerevisiae" "ATP synthase" "1536" "YJR121W" "S000003882" "ORF"
"UBI4" "OTHER" "1" "UBI4" "S. cerevisiae" "Ubiquitin" "1146" "YLL039C" "S000003962" "ORF"
"URA2" "OTHER" "1" "URA2" "S. cerevisiae" "URAcil requiring" "6645" "YJL130C" "S000003666" "ORF"
"IFM1" "OTHER" "1" "IFM1" "S. cerevisiae" "Initiation Factor of Mitochondria" "2031" "YOL023W" "S000005383" "ORF"
"ATP4" "OTHER" "1" "ATP4" "S. cerevisiae" "ATP synthase" "735" "YPL078C" "S000005999" "ORF"
"MRP20" "OTHER" "1" "MRP20" "S. cerevisiae" "Mitochondrial Ribosomal Protein" "792" "YDR405W" "S000002813" "ORF"
"UBA3" "OTHER" "1" "UBA3" "S. cerevisiae" "UBiquitin-like protein-Activating enzyme" "900" "YPR066W" "S000006270" "ORF"
"RRD1" "OTHER" "1" "RRD1" "S. cerevisiae" "Resistant to Rapamycin Deletion" "1182" "YIL153W" "S000001415" "ORF"
"RKR1" "OTHER" "1" "RKR1" "S. cerevisiae" "RING domain mutant Killed by Rtf1 deletion" "4689" "YMR247C" "S000004861" "ORF"
"SDH2" "OTHER" "1" "SDH2" "S. cerevisiae" "Succinate DeHydrogenase" "801" "YLL041C" "S000003964" "ORF"
"VPS15" "OTHER" "1" "VPS15" "S. cerevisiae" "Vacuolar Protein Sorting" "4365" "YBR097W" "S000000301" "ORF"
"DOC1" "OTHER" "1" "DOC1" "S. cerevisiae" "Destruction Of Cyclin B" "753" "YGL240W" "S000003209" "ORF"
"MET13" "OTHER" "1" "MET13" "S. cerevisiae" "METhionine requiring" "1803" "YGL125W" "S000003093" "ORF"
"COQ5" "OTHER" "1" "COQ5" "S. cerevisiae" "COenzyme Q" "924" "YML110C" "S000004578" "ORF"
"SER2" "OTHER" "1" "SER2" "S. cerevisiae" "SERine requiring" "930" "YGR208W" "S000003440" "ORF"
"ARG1" "OTHER" "1" "ARG1" "S. cerevisiae" "ARGinine requiring" "1263" "YOL058W" "S000005419" "ORF"
"ARG4" "OTHER" "1" "ARG4" "S. cerevisiae" "ARGinine requiring" "1392" "YHR018C" "S000001060" "ORF"
"PEX14" "OTHER" "1" "PEX14" "S. cerevisiae" "PEroXisome related" "1026" "YGL153W" "S000003121" "ORF"
"PEP3" "OTHER" "1" "PEP3" "S. cerevisiae" "carboxyPEPtidase Y-deficient" "2757" "YLR148W" "S000004138" "ORF"
"MDM35" "OTHER" "1" "MDM35" "S. cerevisiae" "Mitochondrial Distribution and Morphology" "261" "YKL053C-A" "S000007243" "ORF"
"VMA3" "OTHER" "1" "VMA3" "S. cerevisiae" "Vacuolar Membrane Atpase" "483" "YEL027W" "S000000753" "ORF"
"PEX3" "OTHER" "1" "PEX3" "S. cerevisiae" "PEroXin" "1326" "YDR329C" "S000002737" "ORF"
"YME1" "OTHER" "1" "YME1" "S. cerevisiae" "Yeast Mitochondrial Escape" "2244" "YPR024W" "S000006228" "ORF"
"HSV2" "OTHER" "1" "HSV2" "S. cerevisiae" "Homologous with SVP1" "1347" "YGR223C" "S000003455" "ORF"
"RML2" "OTHER" "1" "RML2" "S. cerevisiae" "Ribosomal Mitochondrial Large" "1182" "YEL050C" "S000000776" "ORF"
"LSM1" "OTHER" "1" "LSM1" "S. cerevisiae" "Like SM" "519" "YJL124C" "S000003660" "ORF"
"YKE2" "OTHER" "1" "YKE2" "S. cerevisiae" "Yeast ortholog of mouse KE2" "345" "YLR200W" "S000004190" "ORF"
"SOD2" "OTHER" "1" "SOD2" "S. cerevisiae" "SuperOxide Dismutase" "702" "YHR008C" "S000001050" "ORF"
"SPE3" "OTHER" "1" "SPE3" "S. cerevisiae" "SPErmidine auxotroph" "882" "YPR069C" "S000006273" "ORF"
"PDB1" "OTHER" "1" "PDB1" "S. cerevisiae" "Pyruvate Dehydrogenase Beta subunit" "1101" "YBR221C" "S000000425" "ORF"
"UBP15" "OTHER" "1" "UBP15" "S. cerevisiae" "UBiquitin-specific Protease" "3693" "YMR304W" "S000004920" "ORF"
"ADK1" "OTHER" "1" "ADK1" "S. cerevisiae" "ADenylate Kinase" "669" "YDR226W" "S000002634" "ORF"
"MRP17" "OTHER" "1" "MRP17" "S. cerevisiae" "Mitochondrial Ribosomal Protein" "396" "YKL003C" "S000001486" "ORF"
"INO80" "OTHER" "1" "INO80" "S. cerevisiae" "INOsitol requiring" "4470" "YGL150C" "S000003118" "ORF"
"MRP2" "OTHER" "1" "MRP2" "S. cerevisiae" "Mitochondrial Ribosomal Protein" "348" "YPR166C" "S000006370" "ORF"
"PEP7" "OTHER" "1" "PEP7" "S. cerevisiae" "carboxyPEPtidase Y-deficient" "1548" "YDR323C" "S000002731" "ORF"
